Region,Stage,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
Anvers,"Adult, 1 Egg Stage",N27A1,36,18.5,186,3100,9.50772,-25.03492,
Anvers,"Adult, 1 Egg Stage",N27A2,44.1,19.7,196,4400,9.2372,-24.52698,
Anvers,"Adult, 1 Egg Stage",N28A1,37,16.9,185,3000,9.36392,-25.01745,
Anvers,"Adult, 1 Egg Stage",N28A2,39.6,18.8,190,4600,9.49106,-24.10255,
Anvers,"Adult, 1 Egg Stage",N29A1,41.1,19,182,3425,,,Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N29A2,37.5,18.9,179,2975,,,Sexing primers did not amplify. Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N30A1,36,17.9,190,3450,9.51784,-25.07683,
Anvers,"Adult, 1 Egg Stage",N30A2,42.3,21.2,191,4150,8.87988,-25.18543,
Anvers,"Adult, 1 Egg Stage",N21A1,39.6,17.7,186,3500,8.46616,-26.12989,
Anvers,"Adult, 1 Egg Stage",N21A2,40.1,18.9,188,4300,8.51362,-26.55602,
Anvers,"Adult, 1 Egg Stage",N22A1,35,17.9,190,3450,8.19539,-26.17213,
Anvers,"Adult, 1 Egg Stage",N22A2,42,19.5,200,4050,8.48095,-26.3146,
Anvers,"Adult, 1 Egg Stage",N23A1,34.5,18.1,187,2900,8.41837,-26.54718,
Anvers,"Adult, 1 Egg Stage",N23A2,41.4,18.6,191,3700,8.35396,-26.27853,
Anvers,"Adult, 1 Egg Stage",N24A1,39,17.5,186,3550,8.57199,-26.07188,
Anvers,"Adult, 1 Egg Stage",N24A2,40.6,18.8,193,3800,8.56674,-25.98843,
Anvers,"Adult, 1 Egg Stage",N25A1,36.5,16.6,181,2850,9.07878,-25.88156,
Anvers,"Adult, 1 Egg Stage",N25A2,37.6,19.1,194,3750,9.108,-25.89677,
Anvers,"Adult, 1 Egg Stage",N27A1,35.7,16.9,185,3150,8.96472,-26.40943,
Anvers,"Adult, 1 Egg Stage",N27A2,41.3,21.1,195,4400,8.74802,-26.37809,
Anvers,"Adult, 1 Egg Stage",N28A1,37.6,17,185,3600,8.58063,-26.21569,
Anvers,"Adult, 1 Egg Stage",N28A2,41.1,18.2,192,4050,8.62264,-26.60023,
Anvers,"Adult, 1 Egg Stage",N29A1,36.4,17.1,184,2850,8.62623,-26.1165,
Anvers,"Adult, 1 Egg Stage",N29A2,41.6,18,192,3950,8.85562,-26.09294,
Anvers,"Adult, 1 Egg Stage",N30A1,35.5,16.2,195,3350,8.56192,-25.95541,
Anvers,"Adult, 1 Egg Stage",N30A2,41.1,19.1,188,4100,8.71078,-25.81012,
Anvers,"Adult, 1 Egg Stage",N32A1,35.9,16.6,190,3050,8.47781,-26.07821,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N32A2,41.8,19.4,198,4450,8.86853,-26.06209,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N34A1,33.5,19,190,3600,7.88863,-26.63085,
Anvers,"Adult, 1 Egg Stage",N34A2,39.7,18.4,190,3900,9.29808,-25.23453,
Anvers,"Adult, 1 Egg Stage",N35A1,39.6,17.2,196,3550,8.33524,-26.55351,
Anvers,"Adult, 1 Egg Stage",N35A2,45.8,18.9,197,4150,8.18658,-26.45978,
Anvers,"Adult, 1 Egg Stage",N36A1,35.5,17.5,190,3700,8.70642,-26.15003,
Anvers,"Adult, 1 Egg Stage",N36A2,42.8,18.5,195,4250,8.2993,-26.38986,
Anvers,"Adult, 1 Egg Stage",N37A1,40.9,16.8,191,3700,8.47257,-26.02002,
Anvers,"Adult, 1 Egg Stage",N37A2,37.2,19.4,184,3900,8.3554,-26.44787,
Anvers,"Adult, 1 Egg Stage",N38A1,36.2,16.1,187,3550,7.82381,-26.51382,
Anvers,"Adult, 1 Egg Stage",N38A2,42.1,19.1,195,4000,9.05736,-25.81513,
Anvers,"Adult, 1 Egg Stage",N39A1,34.6,17.2,189,3200,7.69778,-26.5387,
Anvers,"Adult, 1 Egg Stage",N39A2,42.9,17.6,196,4700,8.63259,-26.23027,
Anvers,"Adult, 1 Egg Stage",N40A1,36.7,18.8,187,3800,7.88494,-26.24837,
Anvers,"Adult, 1 Egg Stage",N40A2,35.1,19.4,193,4200,8.90002,-26.46254,
Anvers,"Adult, 1 Egg Stage",N41A1,37.3,17.8,191,3350,8.32718,-26.38396,
Anvers,"Adult, 1 Egg Stage",N41A2,41.3,20.3,194,3550,9.14863,-26.09635,
Anvers,"Adult, 1 Egg Stage",N42A1,36.3,19.5,190,3800,8.57087,-26.22227,
Anvers,"Adult, 1 Egg Stage",N42A2,36.9,18.6,189,3500,8.59147,-26.08165,
Anvers,"Adult, 1 Egg Stage",N44A1,38.3,19.2,189,3950,9.07826,-26.12417,
Anvers,"Adult, 1 Egg Stage",N44A2,38.9,18.8,190,3600,8.36936,-26.11199,
Anvers,"Adult, 1 Egg Stage",N45A1,35.7,18,202,3550,8.46531,-26.05621,
Anvers,"Adult, 1 Egg Stage",N45A2,41.1,18.1,205,4300,8.77018,-25.83352,
Anvers,"Adult, 1 Egg Stage",N46A1,34,17.1,185,3400,8.01485,-26.69543,
Anvers,"Adult, 1 Egg Stage",N46A2,39.6,18.1,186,4450,8.49915,-26.42406,
Anvers,"Adult, 1 Egg Stage",N48A1,36.2,17.3,187,3300,8.90723,-26.30037,
Anvers,"Adult, 1 Egg Stage",N48A2,40.8,18.9,208,4300,8.48204,-26.57941,
Anvers,"Adult, 1 Egg Stage",N49A1,38.1,18.6,190,3700,8.10277,-26.50086,
Anvers,"Adult, 1 Egg Stage",N49A2,40.3,18.5,196,4350,8.39459,-26.01152,
Anvers,"Adult, 1 Egg Stage",N50A1,33.1,16.1,178,2900,9.04218,-26.15775,
Anvers,"Adult, 1 Egg Stage",N50A2,43.2,18.5,192,4100,8.97025,-26.03679,
Anvers,"Adult, 1 Egg Stage",N47A1,35,17.9,192,3725,8.84451,-26.28055,
Anvers,"Adult, 1 Egg Stage",N47A2,41,20,203,4725,9.01079,-26.38085,
Anvers,"Adult, 1 Egg Stage",N49A1,37.7,16,183,3075,9.2151,-26.2253,
Anvers,"Adult, 1 Egg Stage",N49A2,37.8,20,190,4250,9.51929,-25.69199,
Anvers,"Adult, 1 Egg Stage",N51A1,37.9,18.6,193,2925,9.02642,-25.86482,
Anvers,"Adult, 1 Egg Stage",N51A2,39.7,18.9,184,3550,8.85699,-25.80208,
Anvers,"Adult, 1 Egg Stage",N53A1,38.6,17.2,199,3750,8.77322,-26.48973,
Anvers,"Adult, 1 Egg Stage",N53A2,38.2,20,190,3900,9.59245,-25.70711,
Anvers,"Adult, 1 Egg Stage",N55A1,38.1,17,181,3175,9.79532,-25.27385,
Anvers,"Adult, 1 Egg Stage",N55A2,43.2,19,197,4775,9.31735,-25.45171,
Anvers,"Adult, 1 Egg Stage",N58A1,38.1,16.5,198,3825,8.43951,-26.57563,
Anvers,"Adult, 1 Egg Stage",N58A2,45.6,20.3,191,4600,8.65466,-26.32909,
Anvers,"Adult, 1 Egg Stage",N60A1,39.7,17.7,193,3200,9.02657,-26.06203,
Anvers,"Adult, 1 Egg Stage",N60A2,42.2,19.5,197,4275,8.80186,-26.41218,
Anvers,"Adult, 1 Egg Stage",N61A1,39.6,20.7,191,3900,8.80967,-26.78958,
Anvers,"Adult, 1 Egg Stage",N61A2,42.7,18.3,196,4075,8.91434,-26.42018,
Anvers,"Adult, 1 Egg Stage",N63A1,38.6,17,188,2900,9.18021,-25.77264,
Anvers,"Adult, 1 Egg Stage",N63A2,37.3,20.5,199,3775,9.49645,-26.36678,
Anvers,"Adult, 1 Egg Stage",N64A1,35.7,17,189,3350,8.96436,-23.90309,
Anvers,"Adult, 1 Egg Stage",N64A2,41.1,18.6,189,3325,9.32277,-26.09989,
Anvers,"Adult, 1 Egg Stage",N66A1,36.2,17.2,187,3150,9.04296,-26.19444,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N66A2,37.7,19.8,198,3500,9.11066,-26.42563,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N67A1,40.2,17,176,3450,9.30722,-25.61039,
Anvers,"Adult, 1 Egg Stage",N67A2,41.4,18.5,202,3875,9.59462,-25.42621,
Anvers,"Adult, 1 Egg Stage",N69A1,35.2,15.9,186,3050,8.81668,-25.95399,
Anvers,"Adult, 1 Egg Stage",N69A2,40.6,19,199,4000,9.22537,-25.60826,
Anvers,"Adult, 1 Egg Stage",N71A1,38.8,17.6,191,3275,8.88098,-25.89741,
Anvers,"Adult, 1 Egg Stage",N71A2,41.5,18.3,195,4300,8.52566,-26.0245,
Anvers,"Adult, 1 Egg Stage",N72A1,39,17.1,191,3050,9.19031,-25.73722,
Anvers,"Adult, 1 Egg Stage",N72A2,44.1,18,210,4000,9.10702,-26.01363,
Anvers,"Adult, 1 Egg Stage",N73A1,38.5,17.9,190,3325,8.9846,-25.57956,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N73A2,43.1,19.2,197,3500,8.86495,-26.1396,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N76A1,36.8,18.5,193,3500,8.98705,-25.57647,
Anvers,"Adult, 1 Egg Stage",N76A2,37.5,18.5,199,4475,8.56708,-26.49288,
Anvers,"Adult, 1 Egg Stage",N77A1,38.1,17.6,187,3425,8.717,-25.77951,
Anvers,"Adult, 1 Egg Stage",N77A2,41.1,17.5,190,3900,8.94365,-26.06943,
Anvers,"Adult, 1 Egg Stage",N78A1,35.6,17.5,191,3175,8.75984,-25.97696,
Anvers,"Adult, 1 Egg Stage",N78A2,40.2,20.1,200,3975,8.95998,-26.32601,
Anvers,"Adult, 1 Egg Stage",N79A1,37,16.5,185,3400,8.61651,-26.07021,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N79A2,39.7,17.9,193,4250,9.25769,-25.88798,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N80A1,40.2,17.1,193,3400,9.2881,-25.54976,
Anvers,"Adult, 1 Egg Stage",N80A2,40.6,17.2,187,3475,9.23408,-26.01549,
Anvers,"Adult, 1 Egg Stage",N81A1,32.1,15.5,188,3050,8.79787,-26.61075,
Anvers,"Adult, 1 Egg Stage",N81A2,40.7,17,190,3725,9.05674,-25.79529,
Anvers,"Adult, 1 Egg Stage",N82A1,37.3,16.8,192,3000,9.06829,-25.85203,
Anvers,"Adult, 1 Egg Stage",N82A2,39,18.7,185,3650,9.22033,-26.03442,
Anvers,"Adult, 1 Egg Stage",N83A1,39.2,18.6,190,4250,9.11006,-25.79549,
Anvers,"Adult, 1 Egg Stage",N83A2,36.6,18.4,184,3475,8.68744,-25.8306,
Anvers,"Adult, 1 Egg Stage",N84A1,36,17.8,195,3450,8.94332,-25.79189,
Anvers,"Adult, 1 Egg Stage",N84A2,37.8,18.1,193,3750,8.97533,-26.03495,
Anvers,"Adult, 1 Egg Stage",N85A1,36,17.1,187,3700,8.93465,-26.07081,
Anvers,"Adult, 1 Egg Stage",N85A2,41.5,18.5,201,4000,8.8964,-26.06967,
Anvers,"Adult, 1 Egg Stage",N61A1,46.5,17.9,192,3500,9.03935,-24.30229,
Anvers,"Adult, 1 Egg Stage",N61A2,50,19.5,196,3900,8.92069,-24.23592,
Anvers,"Adult, 1 Egg Stage",N62A1,51.3,19.2,193,3650,9.29078,-24.7557,
Anvers,"Adult, 1 Egg Stage",N62A2,45.4,18.7,188,3525,8.64701,-24.62717,
Anvers,"Adult, 1 Egg Stage",N64A1,52.7,19.8,197,3725,9.00642,-24.61867,
Anvers,"Adult, 1 Egg Stage",N64A2,45.2,17.8,198,3950,8.88942,-24.49433,
Anvers,"Adult, 1 Egg Stage",N66A1,46.1,18.2,178,3250,8.85664,-24.55644,
Anvers,"Adult, 1 Egg Stage",N66A2,51.3,18.2,197,3750,8.63701,-24.84059,
Anvers,"Adult, 1 Egg Stage",N67A1,46,18.9,195,4150,8.47173,-24.29229,
Anvers,"Adult, 1 Egg Stage",N67A2,51.3,19.9,198,3700,8.79581,-24.36088,
Anvers,"Adult, 1 Egg Stage",N68A1,46.6,17.8,193,3800,8.95063,-24.59897,
Anvers,"Adult, 1 Egg Stage",N68A2,51.7,20.3,194,3775,8.68747,-24.38751,
Anvers,"Adult, 1 Egg Stage",N69A1,47,17.3,185,3700,8.72037,-24.80526,
Anvers,"Adult, 1 Egg Stage",N69A2,52,18.1,201,4050,9.0233,-24.38933,
Anvers,"Adult, 1 Egg Stage",N70A1,45.9,17.1,190,3575,9.12277,-24.90024,
Anvers,"Adult, 1 Egg Stage",N70A2,50.5,19.6,201,4050,9.8059,-24.7294,
Anvers,"Adult, 1 Egg Stage",N71A1,50.3,20,197,3300,10.02019,-24.54704,
Anvers,"Adult, 1 Egg Stage",N71A2,58,17.8,181,3700,9.14382,-24.57994,
Anvers,"Adult, 1 Egg Stage",N72A1,46.4,18.6,190,3450,9.32105,-24.64162,
Anvers,"Adult, 1 Egg Stage",N72A2,49.2,18.2,195,4400,9.27158,-24.64335,
Anvers,"Adult, 1 Egg Stage",N73A1,42.4,17.3,181,3600,9.35138,-24.6879,
Anvers,"Adult, 1 Egg Stage",N73A2,48.5,17.5,191,3400,9.42666,-24.26375,
Anvers,"Adult, 1 Egg Stage",N85A1,43.2,16.6,187,2900,9.35416,-25.01185,
Anvers,"Adult, 1 Egg Stage",N85A2,50.6,19.4,193,3800,9.28153,-24.97134,
Anvers,"Adult, 1 Egg Stage",N89A1,46.7,17.9,195,3300,9.74144,-24.59467,
Anvers,"Adult, 1 Egg Stage",N89A2,52,19,197,4150,9.36799,-24.47142,
Anvers,"Adult, 1 Egg Stage",N61A1,50.5,18.4,200,3400,8.9399,-23.89017,
Anvers,"Adult, 1 Egg Stage",N61A2,49.5,19,200,3800,9.63074,-24.34684,
Anvers,"Adult, 1 Egg Stage",N62A1,46.4,17.8,191,3700,9.37369,-24.52896,
Anvers,"Adult, 1 Egg Stage",N62A2,52.8,20,205,4550,9.25177,-24.69638,
Anvers,"Adult, 1 Egg Stage",N63A1,40.9,16.6,187,3200,9.08458,-24.54903,
Anvers,"Adult, 1 Egg Stage",N63A2,54.2,20.8,201,4300,9.49283,-24.59996,
Anvers,"Adult, 1 Egg Stage",N65A1,42.5,16.7,187,3350,9.36668,-24.45195,
Anvers,"Adult, 1 Egg Stage",N65A2,51,18.8,203,4100,9.23196,-24.17282,
Anvers,"Adult, 1 Egg Stage",N67A1,49.7,18.6,195,3600,9.75486,-24.31198,
Anvers,"Adult, 1 Egg Stage",N67A2,47.5,16.8,199,3900,9.07825,-25.1455,
Anvers,"Adult, 1 Egg Stage",N69A1,47.6,18.3,195,3850,8.83502,-24.65859,
Anvers,"Adult, 1 Egg Stage",N69A2,52,20.7,210,4800,9.43146,-24.6844,
Anvers,"Adult, 1 Egg Stage",N72A1,46.9,16.6,192,2700,9.80589,-24.73735,
Anvers,"Adult, 1 Egg Stage",N72A2,53.5,19.9,205,4500,10.02544,-24.90816,
Anvers,"Adult, 1 Egg Stage",N74A1,49,19.5,210,3950,9.53262,-24.66867,
Anvers,"Adult, 1 Egg Stage",N74A2,46.2,17.5,187,3650,9.61734,-24.66188,
Anvers,"Adult, 1 Egg Stage",N75A1,50.9,19.1,196,3550,10.02372,-24.86594,
Anvers,"Adult, 1 Egg Stage",N75A2,45.5,17,196,3500,9.36493,-24.66259,
Anvers,"Adult, 1 Egg Stage",N86A1,50.9,17.9,196,3675,9.43684,-24.16566,
Anvers,"Adult, 1 Egg Stage",N86A2,50.8,18.5,201,4450,9.45827,-24.35575,
Anvers,"Adult, 1 Egg Stage",N87A1,50.1,17.9,190,3400,9.46819,-24.45721,
Anvers,"Adult, 1 Egg Stage",N87A2,49,19.6,212,4300,9.34089,-24.45189,
Anvers,"Adult, 1 Egg Stage",N88A1,51.5,18.7,187,3250,9.6895,-24.43062,
Anvers,"Adult, 1 Egg Stage",N88A2,49.8,17.3,198,3675,9.32169,-24.41562,
Anvers,"Adult, 1 Egg Stage",N90A1,48.1,16.4,199,3325,9.46929,-24.48403,
Anvers,"Adult, 1 Egg Stage",N90A2,51.4,19,201,3950,9.43782,-24.36202,
Anvers,"Adult, 1 Egg Stage",N92A1,45.7,17.3,193,3600,9.415,-24.805,
Anvers,"Adult, 1 Egg Stage",N92A2,50.7,19.7,203,4050,9.93727,-24.59066,
Anvers,"Adult, 1 Egg Stage",N93A1,42.5,17.3,187,3350,9.56534,-24.60882,
Anvers,"Adult, 1 Egg Stage",N93A2,52.2,18.8,197,3450,9.77528,-24.56481,
Anvers,"Adult, 1 Egg Stage",N94A1,45.2,16.6,191,3250,9.62357,-24.78984,
Anvers,"Adult, 1 Egg Stage",N94A2,49.3,19.9,203,4050,9.88809,-24.59513,
Anvers,"Adult, 1 Egg Stage",N95A1,50.2,18.8,202,3800,9.74492,-24.404,
Anvers,"Adult, 1 Egg Stage",N95A2,45.6,19.4,194,3525,9.46985,-24.65786,
Anvers,"Adult, 1 Egg Stage",N96A1,51.9,19.5,206,3950,,-23.78767,
Anvers,"Adult, 1 Egg Stage",N96A2,46.8,16.5,189,3650,9.65061,-24.48153,
Anvers,"Adult, 1 Egg Stage",N98A1,45.7,17,195,3650,9.26715,-24.31912,
Anvers,"Adult, 1 Egg Stage",N98A2,55.8,19.8,207,4000,9.70465,-24.53494,
Anvers,"Adult, 1 Egg Stage",N99A1,43.5,18.1,202,3400,9.37608,-24.40753,
Anvers,"Adult, 1 Egg Stage",N99A2,49.6,18.2,193,3775,9.4618,-24.70615,
Anvers,"Adult, 1 Egg Stage",N100A1,50.8,19,210,4100,9.98044,-24.68741,
Anvers,"Adult, 1 Egg Stage",N100A2,50.2,18.7,198,3775,9.39305,-24.25255,
Anvers,"Adult, 1 Egg Stage",N31A1,46.1,13.2,211,4500,7.993,-25.5139,
Anvers,"Adult, 1 Egg Stage",N31A2,50,16.3,230,5700,8.14756,-25.39369,
Anvers,"Adult, 1 Egg Stage",N32A1,48.7,14.1,210,4450,8.14705,-25.46172,
Anvers,"Adult, 1 Egg Stage",N32A2,50,15.2,218,5700,8.2554,-25.40075,
Anvers,"Adult, 1 Egg Stage",N33A1,47.6,14.5,215,5400,8.2345,-25.54456,
Anvers,"Adult, 1 Egg Stage",N33A2,46.5,13.5,210,4550,7.9953,-25.32829,
Anvers,"Adult, 1 Egg Stage",N34A1,45.4,14.6,211,4800,8.24515,-25.46782,
Anvers,"Adult, 1 Egg Stage",N34A2,46.7,15.3,219,5200,8.22673,-25.4276,
Anvers,"Adult, 1 Egg Stage",N35A1,43.3,13.4,209,4400,8.13643,-25.32176,
Anvers,"Adult, 1 Egg Stage",N35A2,46.8,15.4,215,5150,8.1631,-25.38017,
Anvers,"Adult, 1 Egg Stage",N36A1,40.9,13.7,214,4650,8.19579,-25.3933,
Anvers,"Adult, 1 Egg Stage",N36A2,49,16.1,216,5550,8.10417,-25.50562,
Anvers,"Adult, 1 Egg Stage",N37A1,45.5,13.7,214,4650,7.77672,-25.4168,
Anvers,"Adult, 1 Egg Stage",N37A2,48.4,14.6,213,5850,7.8208,-25.48025,
Anvers,"Adult, 1 Egg Stage",N38A1,45.8,14.6,210,4200,7.79958,-25.62618,
Anvers,"Adult, 1 Egg Stage",N38A2,49.3,15.7,217,5850,8.07137,-25.52473,
Anvers,"Adult, 1 Egg Stage",N39A1,42,13.5,210,4150,7.63884,-25.52627,
Anvers,"Adult, 1 Egg Stage",N39A2,49.2,15.2,221,6300,8.27376,-25.00169,
Anvers,"Adult, 1 Egg Stage",N40A1,46.2,14.5,209,4800,7.84057,-25.37899,
Anvers,"Adult, 1 Egg Stage",N40A2,48.7,15.1,222,5350,7.96491,-25.39587,
Anvers,"Adult, 1 Egg Stage",N41A1,50.2,14.3,218,5700,7.8962,-25.37746,
Anvers,"Adult, 1 Egg Stage",N41A2,45.1,14.5,215,5000,7.6322,-25.46569,
Anvers,"Adult, 1 Egg Stage",N42A1,46.5,14.5,213,4400,7.90436,-25.3947,
Anvers,"Adult, 1 Egg Stage",N42A2,46.3,15.8,215,5050,7.90971,-25.38157,
Anvers,"Adult, 1 Egg Stage",N44A1,42.9,13.1,215,5000,7.68528,-25.39181,
Anvers,"Adult, 1 Egg Stage",N44A2,46.1,15.1,215,5100,7.83733,-25.42826,
Anvers,"Adult, 1 Egg Stage",N46A1,44.5,14.3,216,4100,7.96621,-25.69327,
Anvers,"Adult, 1 Egg Stage",N46A2,47.8,15,215,5650,7.92358,-25.48383,
Anvers,"Adult, 1 Egg Stage",N47A1,48.2,14.3,210,4600,7.6887,-25.50811,
Anvers,"Adult, 1 Egg Stage",N47A2,50,15.3,220,5550,8.30515,-25.19017,
Anvers,"Adult, 1 Egg Stage",N50A1,47.3,15.3,222,5250,,,
Anvers,"Adult, 1 Egg Stage",N50A2,42.8,14.2,209,4700,7.63452,-25.46327,
Anvers,"Adult, 1 Egg Stage",N56A1,45.1,14.5,207,5050,7.97408,-25.53768,
Anvers,"Adult, 1 Egg Stage",N56A2,59.6,17,230,6050,7.76843,-25.6821,
Anvers,"Adult, 1 Egg Stage",N2A1,49.1,14.8,220,5150,7.89744,-26.63405,
Anvers,"Adult, 1 Egg Stage",N2A2,48.4,16.3,220,5400,8.03659,-26.86127,
Anvers,"Adult, 1 Egg Stage",N4A1,42.6,13.7,213,4950,7.96935,-26.70968,
Anvers,"Adult, 1 Egg Stage",N4A2,44.4,17.3,219,5250,8.13746,-26.79093,
Anvers,"Adult, 1 Egg Stage",N5A1,44,13.6,208,4350,8.01979,-26.68311,
Anvers,"Adult, 1 Egg Stage",N5A2,48.7,15.7,208,5350,8.14776,-26.84506,
Anvers,"Adult, 1 Egg Stage",N6A1,42.7,13.7,208,3950,8.14567,-26.59467,
Anvers,"Adult, 1 Egg Stage",N6A2,49.6,16,225,5700,8.38324,-26.84272,
Anvers,"Adult, 1 Egg Stage",N7A1,45.3,13.7,210,4300,8.37615,-26.72791,
Anvers,"Adult, 1 Egg Stage",N7A2,49.6,15,216,4750,8.26548,-26.7699,
Anvers,"Adult, 1 Egg Stage",N8A1,50.5,15.9,222,5550,8.46894,-26.60436,
Anvers,"Adult, 1 Egg Stage",N8A2,43.6,13.9,217,4900,8.27141,-26.7765,
Anvers,"Adult, 1 Egg Stage",N11A1,45.5,13.9,210,4200,8.47829,-26.61788,
Anvers,"Adult, 1 Egg Stage",N11A2,50.5,15.9,225,5400,8.65803,-26.57585,
Anvers,"Adult, 1 Egg Stage",N12A1,44.9,13.3,213,5100,8.45167,-26.89644,
Anvers,"Adult, 1 Egg Stage",N12A2,45.2,15.8,215,5300,8.55868,-26.67799,
Anvers,"Adult, 1 Egg Stage",N13A1,46.6,14.2,210,4850,8.38289,-26.86352,
Anvers,"Adult, 1 Egg Stage",N13A2,48.5,14.1,220,5300,8.39867,-26.79358,
Anvers,"Adult, 1 Egg Stage",N14A1,45.1,14.4,210,4400,8.51951,-27.01854,
Anvers,"Adult, 1 Egg Stage",N14A2,50.1,15,225,5000,8.50153,-26.61414,
Anvers,"Adult, 1 Egg Stage",N15A1,46.5,14.4,217,4900,8.48789,-26.83006,
